unet3+_aspp
Epoch: 34, Acc: 0.50120816465284, Acc_class: 0.25490702686645955, mIoU: 0.15110433088117742, fwIoU: 0.3606549768889979, best_fwIoU: 0.5099764573537556, Loss: 0.929
Epoch: 35, Acc: 0.6316903223756885, Acc_class: 0.4437760247374266, mIoU: 0.301092007772492, fwIoU: 0.4480216135388076, best_fwIoU: 0.5099764573537556, Loss: 0.610
Epoch: 36, Acc: 0.08973096628658107, Acc_class: 0.16858815318193635, mIoU: 0.026666241209153018, fwIoU: 0.022005865773157274, best_fwIoU: 0.5099764573537556, Loss: 2.003
Epoch: 37, Acc: 0.6049954461269691, Acc_class: 0.44635032043951106, mIoU: 0.295242406771383, fwIoU: 0.4716398693353475, best_fwIoU: 0.5099764573537556, Loss: 0.554
Epoch: 38, Acc: 0.18586061821609248, Acc_class: 0.17949171021361804, mIoU: 0.04964089908644378, fwIoU: 0.09740516752582845, best_fwIoU: 0.5099764573537556, Loss: 1.886
Epoch: 39, Acc: 0.4880045906442111, Acc_class: 0.2711454339040206, mIoU: 0.13928327942956203, fwIoU: 0.31520277255353046, best_fwIoU: 0.5099764573537556, Loss: 1.187
Epoch: 40, Acc: 0.6925900256047484, Acc_class: 0.5525938657913697, mIoU: 0.39583088508081243, fwIoU: 0.5462161644006874, best_fwIoU: 0.5462161644006874, Loss: 0.417
Epoch: 41, Acc: 0.7033706102214876, Acc_class: 0.55454004363455, mIoU: 0.4177835953002428, fwIoU: 0.5526264537265411, best_fwIoU: 0.5526264537265411, Loss: 0.408
Epoch: 42, Acc: 0.4354198643418609, Acc_class: 0.28461298668250734, mIoU: 0.14090053445421818, fwIoU: 0.32331264266180687, best_fwIoU: 0.5526264537265411, Loss: 1.011
Epoch: 43, Acc: 0.6467239192274751, Acc_class: 0.45943655244344195, mIoU: 0.30668566511258855, fwIoU: 0.5062672074821768, best_fwIoU: 0.5526264537265411, Loss: 0.528
Epoch: 44, Acc: 0.635597791828093, Acc_class: 0.46138550078556123, mIoU: 0.31278658229796436, fwIoU: 0.4643504811120416, best_fwIoU: 0.5526264537265411, Loss: 0.523
Epoch: 45, Acc: 0.49496406805319865, Acc_class: 0.3032788829517451, mIoU: 0.17417352482651155, fwIoU: 0.37505187769227716, best_fwIoU: 0.5526264537265411, Loss: 0.930
Epoch: 46, Acc: 0.5339140970198835, Acc_class: 0.3393216591509511, mIoU: 0.20454693696991616, fwIoU: 0.40572984858339944, best_fwIoU: 0.5526264537265411, Loss: 0.751
Epoch: 47, Acc: 0.6383852098808914, Acc_class: 0.4055011752510479, mIoU: 0.3085853923665359, fwIoU: 0.44555495047367466, best_fwIoU: 0.5526264537265411, Loss: 0.517
Epoch: 48, Acc: 0.3941306129830783, Acc_class: 0.2834859700666485, mIoU: 0.14343021000188927, fwIoU: 0.28741813631233226, best_fwIoU: 0.5526264537265411, Loss: 1.077
Epoch: 49, Acc: 0.5832996368408203, Acc_class: 0.4054635018065508, mIoU: 0.26442631964283436, fwIoU: 0.44460912973567773, best_fwIoU: 0.5526264537265411, Loss: 0.673
Epoch: 50, Acc: 0.6110848911473008, Acc_class: 0.5412805972149248, mIoU: 0.35449527676419396, fwIoU: 0.47805350138098673, best_fwIoU: 0.5526264537265411, Loss: 0.527
Epoch: 51, Acc: 0.6311647383893122, Acc_class: 0.40860415336410866, mIoU: 0.2961854186572205, fwIoU: 0.43500288395431086, best_fwIoU: 0.5526264537265411, Loss: 0.562
Epoch: 52, Acc: 0.7245585644831423, Acc_class: 0.5944744758724618, mIoU: 0.45452306277595744, fwIoU: 0.5812089021377373, best_fwIoU: 0.5812089021377373, Loss: 0.368
